Date;Open;High;Low;Close;Adj Close;Volume
31/08/17;34,919998;35,18;34,450001;35,080002;24,27585;56429700
01/09/17;35,5;35,98;35,259998;35,669998;24,684135;22554600
04/09/17;35,380001;36,189999;35,310001;36,099998;24,981703;15002800
05/09/17;36,5;36,689999;35,18;35,599998;24,635695;24227100
06/09/17;35,82;36,09;35,470001;35,799999;24,774099;18117700
07/09/17;35,799999;35,799999;35,799999;35,799999;24,774099;0
08/09/17;35,689999;36,110001;34,470001;34,48;23,860638;23042000
11/09/17;34,799999;35,209999;34,73;35,09;24,28277;19131800
12/09/17;35,369999;35,73;35,23;35,259998;24,40041;16114100
13/09/17;35,049999;35,130001;34,389999;34,77;24,061327;21951600
14/09/17;34;34,099998;33,349998;33,619999;23,265507;24324600
15/09/17;33,360001;34,139999;33,299999;33,799999;23,390068;34216900
18/09/17;33,810001;34,310001;33,779999;34,25;23,701477;18617700
19/09/17;33,799999;33,990002;33,330002;33,919998;23,47311;17106900
20/09/17;33,880001;34,150002;32,77;33,169998;22,954102;24175400
21/09/17;32,650002;32,77;32,16;32,509998;22,49737;26157600
22/09/17;32,150002;32,380001;31,85;31,91;22,082163;16957700
25/09/17;31,799999;32,290001;31;31,09;21,514711;21014300
26/09/17;31,469999;31,93;31,41;31,5;21,798437;17114500
27/09/17;31,98;32,25;31,030001;31,93;22,096006;26241300
28/09/17;31,51;31,85;31,280001;31,75;21,971445;17561400
29/09/17;32,139999;32,400002;31,610001;31,870001;22,054487;16047100
02/10/17;32,25;32,43;31,870001;31,9;22,075247;13596900
03/10/17;32,09;32,68;31,76;32,68;22,615017;23474600
04/10/17;32,880001;33,07;32,610001;32,610001;22,566578;17562500
05/10/17;33;33,189999;32,240002;32,27;22,331289;17253100
06/10/17;32,07;32,150002;31,83;32,139999;22,241327;12450500
09/10/17;32,049999;32,099998;31,26;31,5;21,798437;13520900
10/10/17;31,65;31,700001;30,940001;31,32;21,673876;20181500
11/10/17;30,940001;31,49;30,73;31,1;21,521635;23041300
12/10/17;31,1;31,1;31,1;31,1;21,521635;0
13/10/17;32,099998;33,099998;32;32,91;22,774178;31395900
16/10/17;33,380001;33,639999;32,830002;33,349998;23,078665;35861900
17/10/17;33,110001;33,32;32,580002;32,580002;22,545815;19842700
18/10/17;32,759998;32,950001;31,790001;32,27;22,331289;21210600
19/10/17;31,75;33,07;31,709999;33;22,836458;18549800
20/10/17;33,75;33,779999;32,950001;32,950001;22,801859;24301000
23/10/17;33;33,200001;32,639999;32,709999;22,635773;11948700
24/10/17;32,880001;33,830002;32,549999;33,830002;23,410833;19996200
25/10/17;33,630001;33,860001;33,07;33,549999;23,217066;16724100
26/10/17;33,869999;33,900002;32,669998;32,669998;22,608095;25302400
27/10/17;32,290001;32,869999;32,029999;32,549999;22,525053;17377200
30/10/17;32,189999;32,93;31,84;32,349998;22,386648;19401600
31/10/17;32,419998;32,689999;32,009998;32,099998;22,213646;14629600
01/11/17;32,799999;33,279999;32,689999;32,82;22,711897;29709500
02/11/17;32,82;32,82;32,82;32,82;22,711897;0
03/11/17;33,200001;33,540001;33;33,540001;23,210152;29217800
06/11/17;33,889999;34,34;33,830002;34,34;23,763758;26333200
07/11/17;34,240002;34,240002;33,52;33,52;23,196306;20239700
08/11/17;33,810001;33,950001;33,450001;33,939999;23,486952;11580800
09/11/17;33,700001;33,709999;32,799999;32,799999;22,698059;19246700
10/11/17;32,779999;33,029999;32,5;32,77;22,677298;12199100
13/11/17;32,84;33,439999;32,59;33,139999;22,933342;12424700
14/11/17;33,02;33,099998;31,940001;32,16;22,255169;23389800
15/11/17;32,16;32,16;32,16;32,16;22,255169;0
16/11/17;32,459999;32,790001;32,029999;32,599998;22,55965;16280300
17/11/17;32,59;33,169998;32,32;32,919998;22,781097;13771300
20/11/17;32,919998;32,919998;32,919998;32,919998;22,781097;0
21/11/17;33,290001;34,049999;33,150002;34,049999;23,563076;23741300
22/11/17;34,400002;34,970001;34,279999;34,740002;24,040564;22150200
23/11/17;34,830002;35,349998;34,57;35,200001;24,358891;11962000
24/11/17;35,18;35,849998;35,110001;35,790001;24,767178;30784900
27/11/17;35,459999;35,779999;35,080002;35,41;24,504213;15112700
28/11/17;35,450001;36,650002;35,25;36,25;25,085508;28591400
29/11/17;36,279999;36,580002;35,630001;35,700001;24,704895;18176000
30/11/17;35,700001;36,080002;34,93;35,139999;24,317368;25417200
01/12/17;35,200001;35,970001;34,889999;35,48;24,55265;17204100
04/12/17;35,959999;36,98;35,849998;36,830002;25,486874;22600100
05/12/17;36,810001;37,400002;36,02;36,02;24,926342;25898800
06/12/17;35,580002;35,990002;35,360001;35,759998;24,746416;20400800
07/12/17;35,049999;35,5;34,900002;35,34;24,455774;19876200
08/12/17;35,810001;35,950001;35,459999;35,48;24,55265;21502200
11/12/17;35,830002;36;35,48;35,759998;24,746416;14785300
12/12/17;35,630001;36,18;35,220001;36,18;25,037064;17624400
13/12/17;36,43;36,48;36,049999;36,110001;24,988623;21135300
14/12/17;35,91;36,580002;35,790001;36,240002;25,078587;17718000
15/12/17;36,509998;37,279999;36,360001;36,889999;25,528395;32954100
18/12/17;37,490002;38,02;37,34;37,84;26,185808;24339300
19/12/17;37,709999;38,099998;37,639999;37,849998;26,192724;14041000
20/12/17;37,970001;39,209999;37,970001;39,150002;27,092348;19218100
21/12/17;39,099998;39,73;39,080002;39,73;27,493715;11772500
22/12/17;39,34;39,830002;39,220001;39,790001;27,829365;10140000
25/12/17;39,790001;39,790001;39,790001;39,790001;27,829365;0
26/12/17;39,610001;40;39,02;39,849998;27,871334;9986600
27/12/17;39,799999;40,209999;39,630001;39,860001;27,878328;9943000
28/12/17;40,009998;40,259998;39,93;40,259998;28,158091;9963300
29/12/17;40,259998;40,259998;40,259998;40,259998;28,158091;0
02/01/18;40,439999;41,740002;40,439999;41,720001;29,179224;14156500
03/01/18;41,830002;41,880001;41,299999;41,470001;29,004374;12744200
04/01/18;41,810001;42,369999;41,52;41,639999;29,123266;18433000
05/01/18;41,57;42,290001;41,310001;42,290001;29,577885;15251300
08/01/18;42,400002;43,23;42,400002;43,23;30,235329;14542800
09/01/18;43,580002;43,75;42,93;43,07;30,123421;15986200
10/01/18;42,740002;42,950001;42,419998;42,470001;29,703779;12149500
11/01/18;42,599998;43,299999;42,599998;43,299999;30,284286;10236300
12/01/18;42,950001;43,66;42,75;43,549999;30,459135;15014300
15/01/18;43,5;43,720001;43,27;43,470001;30,403183;7253400
16/01/18;42,98;43,139999;42,299999;42,299999;29,584871;20121900
17/01/18;42,400002;43,220001;42,360001;43,150002;30,179373;16490700
18/01/18;43,5;43,610001;42,68;42,860001;29,976542;10772100
19/01/18;43,200001;43,400002;42,599998;42,880001;29,990536;11173100
22/01/18;43,099998;43,16;42,220001;42,650002;29,82967;11580900
23/01/18;41,990002;42,110001;40,810001;40,93;28,62669;22075600
24/01/18;41,209999;42,130001;41,139999;41,779999;29,221186;22096600
25/01/18;41,779999;41,779999;41,779999;41,779999;29,221186;0
26/01/18;41,849998;41,880001;40,709999;41,43;28,976395;19259500
29/01/18;41,099998;42,240002;41,040001;41,889999;29,298117;16752900
30/01/18;41,700001;41,959999;41,23;41,470001;29,004374;13180300
31/01/18;41,75;42,68;41,450001;41,450001;28,990381;22859700
01/02/18;41,599998;42,470001;41,57;41,790001;29,228184;21949700
02/02/18;41,650002;41,650002;40,75;40,799999;28,535769;17892300
05/02/18;40,599998;42,040001;40,330002;40,349998;28,221035;22452800
06/02/18;40,009998;42,470001;39,93;42,470001;29,703779;26037000
07/02/18;42,43;42,720001;41,700001;41,709999;29,17223;20560700
08/02/18;41,689999;42,130001;41,07;41,59;29,088297;18928800
09/02/18;41,400002;42,400002;41,029999;42;29,375053;22760500
14/02/18;43,400002;44,549999;43,259998;44,509998;31,130562;25905800
15/02/18;45,009998;45,959999;44,950001;45,950001;32,137714;31043100
16/02/18;45,82;46,189999;45,470001;46,029999;32,193665;21107300
19/02/18;46,099998;46,799999;45,959999;46,450001;32,487411;12756100
20/02/18;46,049999;46,450001;45,240002;45,509998;31,829971;18417600
21/02/18;45,509998;45,959999;44,709999;44,799999;31,333395;24312600
22/02/18;45,23;45,68;45,119999;45,669998;31,941874;14081800
23/02/18;46;46,41;45,650002;46,080002;32,228626;17489800
26/02/18;46,740002;47,400002;46,689999;47,400002;33,151852;20374600
27/02/18;47,470001;47,599998;46,709999;47,330002;33,102886;15063400
28/02/18;46,990002;47,09;44,650002;45,049999;31,508245;39459100
01/03/18;45,209999;45,630001;43,970001;44,450001;31,088602;25776000
02/03/18;43,799999;43,880001;42,740002;43,75;30,599014;25236200
05/03/18;43,48;43,939999;42,880001;43,700001;30,564047;16100600
06/03/18;44,5;44,919998;43,419998;43,490002;30,417168;22342000
07/03/18;42,509998;43,02;42,200001;42,849998;30,310015;19334700
08/03/18;42,68;42,790001;41,25;41,459999;29,326797;19983100
09/03/18;40,970001;42,27;40,509998;42,099998;29,779503;21077800
12/03/18;42,290001;42,630001;41,939999;42,459999;30,034147;11838200
13/03/18;42,740002;42,799999;42,049999;42,130001;29,800718;13838900
14/03/18;42,849998;43,34;42,57;42,599998;30,133175;17936000
15/03/18;42,700001;42,82;42,130001;42,400002;29,991711;16039100
16/03/18;42,400002;42,599998;42,049999;42,299999;29,920965;26802000
19/03/18;41,52;41,52;40,669998;41,099998;29,072145;21861500
20/03/18;41,099998;41,919998;40,93;41,599998;29,425819;9322500
21/03/18;41,75;42,689999;41,43;42,5;30,062441;19798000
22/03/18;41,939999;42,25;41,619999;41,93;29,659252;15229500
23/03/18;41,240002;42,200001;41,009998;41,599998;29,425819;14983200
26/03/18;42;42,380001;41,610001;42;29,708765;9850900
27/03/18;42,389999;42,389999;40,720001;40,860001;28,902388;11659800
28/03/18;40,610001;41,700001;40,060001;41,540001;29,383381;19038400
29/03/18;41,869999;42,75;41,740002;42,209999;29,857307;20347700
02/04/18;42,32;43,470001;42,32;43;30,416119;18944000
03/04/18;43,400002;43,549999;42,439999;42,869999;30,324158;13693900
04/04/18;41,799999;42,599998;41,59;42,549999;30,097809;12440000
05/04/18;43,310001;43,689999;43,029999;43,25;30,592953;14686600
06/04/18;42,91;43,099998;42,25;42,740002;30,232206;11282700
09/04/18;43,07;43,23;42,209999;42,950001;30,380749;11918100
10/04/18;43,799999;44,84;43,669998;44,84;31,717644;22479700
11/04/18;44,560001;45,060001;44,220001;44,639999;31,57617;17709600
12/04/18;44,419998;44,860001;44,32;44,810001;31,696424;9812400
13/04/18;44,849998;45,169998;44,599998;44,98;31,816671;15483300
16/04/18;44,610001;44,849998;44,310001;44,540001;31,505444;11434200
17/04/18;44,599998;46;44,560001;45,93;32,488655;13348000
18/04/18;47;48,080002;46,849998;47,48;33,585056;27655600
19/04/18;47,779999;48,169998;47,400002;47,830002;33,832626;16092700
20/04/18;47,759998;47,900002;47,330002;47,630001;33,691154;10188600
23/04/18;47,220001;47,98;47,060001;47,5;33,599197;11785300
24/04/18;47,700001;48,59;47,700001;48,310001;34,172153;15113400
25/04/18;47,75;48,490002;47,439999;47,950001;33,9175;15525500
26/04/18;47,700001;49;47,619999;48,700001;34,448021;13273500
27/04/18;48,900002;49,150002;47,860001;48,349998;34,200447;14624200
30/04/18;48,259998;48,830002;48,150002;48,669998;34,4268;8464400
02/05/18;48,5;49,32;48,419998;48,709999;34,455097;16526500
03/05/18;48,810001;49,330002;48,580002;49,09;34,723888;14025900
04/05/18;48,919998;49,900002;48,919998;49,700001;35,155373;14861100
07/05/18;49,720001;50,040001;49,110001;49,240002;34,82999;15433900
08/05/18;49,25;49,68;48,91;49,189999;34,794624;22420400
09/05/18;49,419998;50,419998;49,330002;50,25;35,544415;16776100
10/05/18;50,41;51,400002;50,380001;51,400002;36,357868;14314200
11/05/18;51,77;53,580002;51,75;52,630001;37,227917;21432500
14/05/18;53,080002;54,400002;53;54,27;38,38797;15847800
15/05/18;53,810001;54,650002;53,18;54,650002;38,656765;15954500
16/05/18;55,330002;56;55,139999;55,900002;39,540951;20944200
17/05/18;55,299999;55,799999;54,75;55,380001;39,173134;20241200
18/05/18;54,700001;55,5;53,450001;54,77;38,741646;22361100
21/05/18;55,009998;55,099998;53;53;37,489632;22608800
22/05/18;52,869999;53,060001;51,869999;52,34;37,022781;20491700
23/05/18;51,799999;52,240002;51,25;51,939999;36,739838;15703000
24/05/18;51,32;53;51,259998;52,459999;37,107662;14500200
25/05/18;52,580002;52,790001;51,049999;51,48;36,414459;13141500
28/05/18;50,900002;52,459999;50,709999;51,07;36,124443;13832600
29/05/18;51,970001;52,060001;49,990002;50,16;35,480747;18697800
30/05/18;50,209999;51,349998;49,700001;50,630001;35,813206;25861400
01/06/18;50,900002;53,080002;50,650002;52,759998;37,319866;20424100
04/06/18;53,18;53,450001;51,759998;52,52;37,150105;13964100
05/06/18;52,5;54;52,5;53,73;38,006001;16988600
06/06/18;54,5;56,23;54,490002;56,07;39,661201;26835500
07/06/18;56,459999;56,75;53,07;54,369999;38,458702;32389900
08/06/18;53,990002;53,990002;50,66;50,889999;35,99712;30421100
11/06/18;51,369999;52;50,59;50,849998;35,968826;14362000
12/06/18;50,5;52,360001;50,16;51,700001;36,570076;18403200
13/06/18;51,98;52,240002;50,73;51,549999;36,463974;15599000
14/06/18;51,869999;51,889999;50,75;51,709999;36,577148;18827200
15/06/18;51,400002;51,439999;48,700001;49,130001;34,752182;36611400
18/06/18;48,619999;49,290001;47,860001;49,209999;34,808773;20490400
19/06/18;47,700001;48,75;47,029999;48,299999;34,165081;26764800
20/06/18;49,049999;49,080002;48,07;48,810001;34,525829;14448400
21/06/18;48,509998;49,200001;47,040001;47,209999;33,394066;13952800
22/06/18;48,150002;48,470001;47,48;48,009998;33,959942;9632500
25/06/18;47,700001;47,799999;46,259998;47,16;33,358704;13800400
26/06/18;47,5;48,34;46,630001;48,34;34,193375;15460100
27/06/18;48,48;49,279999;47,900002;48,150002;34,058979;14471100
28/06/18;47,849998;49,439999;47,5;49,07;34,70974;16298400
29/06/18;49,700001;50,099998;49,049999;49,59;35,077564;12248000
02/07/18;48,889999;49,189999;48,52;48,759998;34,490463;8222800
03/07/18;49,299999;49,490002;47,959999;47,959999;33,924576;11486600
04/07/18;48,169998;48,369999;47,599998;48,029999;33,974091;6147000
05/07/18;48,549999;49,77;48,310001;49,700001;35,155373;12179600
06/07/18;49,790001;50,439999;49,389999;50,34;35,608078;8582200
10/07/18;50,700001;51,099998;49,349998;49,529999;35,035126;10935700
11/07/18;48,5;49,099998;48,450001;48,860001;34,561195;12912600
12/07/18;49,349998;50,669998;48,959999;50,450001;35,68589;20765500
13/07/18;50,599998;50,889999;49,93;50,310001;35,586849;15555400
16/07/18;50,310001;50,599998;49,599998;50;35,367577;12550000
